UserID,EmployerNumber,CreationDate,Username,Password,Level,Active
1,526370,2016-02-06 00:00:00.0000000,"qrobinson","&o3JGvk*wk",2,True
2,112645,2011-12-30 00:00:00.0000000,"david44","R4D9MWcr_8",1,True
3,603270,2015-12-17 00:00:00.0000000,"coxbrittany","7#Fy4HWd5B",4,True
4,855535,2016-01-22 00:00:00.0000000,"diazjessica",")6yprRqqFq",3,True
5,622836,2019-03-02 00:00:00.0000000,"alexandriaduffy","Uii8t7Obk)",3,True
6,48859,2013-06-14 00:00:00.0000000,"kbuckley","BscaPnWy(8",1,True
7,345555,2012-03-18 00:00:00.0000000,"collierashley",")0YGDl7heX",2,True
8,642489,2017-01-21 00:00:00.0000000,"ghaynes","!^0FWwnIi3",1,True
9,20621,2019-11-05 00:00:00.0000000,"hnelson","@tx8LXXgFt",4,True
10,982005,2016-12-22 00:00:00.0000000,"pamela55","ud4Y%cLf!u",2,True
11,556223,2011-04-14 00:00:00.0000000,"jharding","6Sf29cEj!D",2,True
12,66645,2016-09-16 00:00:00.0000000,"lisabanks",")T1QYcSqtg",2,True
13,381205,2015-05-09 00:00:00.0000000,"osandoval","*j%SC0JvKe",4,True
14,61790,2014-03-09 00:00:00.0000000,"jose08","o#7RV#2r*b",5,True
15,485791,2013-08-20 00:00:00.0000000,"theresa99","+)D9IwhK(t",4,True
16,409774,2013-05-05 00:00:00.0000000,"racheljones","7)8oDfvlpR",4,True
17,440508,2014-12-30 00:00:00.0000000,"karipatrick","t7OeaG9k*)",3,True
18,702340,2010-12-02 00:00:00.0000000,"amygregory","@skpTWXc1x",2,True
19,719827,2014-10-11 00:00:00.0000000,"mariawilliams","3ih^a5Ez)%",3,True
20,924318,2017-04-18 00:00:00.0000000,"michael29","zwZY^wl*+6",4,True
21,846686,2018-12-05 00:00:00.0000000,"jackdavis","G3O0pp4f(Z",3,True
22,236293,2012-08-22 00:00:00.0000000,"uwilson","ybQG4Urs_*",2,True
23,635107,2013-01-09 00:00:00.0000000,"mcclaintiffany","rS6nNZ*gY#",2,True
24,92007,2010-12-23 00:00:00.0000000,"jwise","Y@2F(MDu_L",5,True
25,480208,2017-02-21 00:00:00.0000000,"vmiles","D8GUduiA$0",1,True
26,460440,2011-02-23 00:00:00.0000000,"johnstonerika","sn0LFYtn)z",4,True
27,736581,2010-08-27 00:00:00.0000000,"samanthamoran","@qC_5FYjDp",3,True
28,651054,2013-10-28 00:00:00.0000000,"daniel18","&0pi5ET16a",2,True
29,597629,2016-03-06 00:00:00.0000000,"uhunt","xe^LeJo2(8",4,True
30,108452,2017-07-09 00:00:00.0000000,"dhansen","*e10RR!d#i",2,True
31,117860,2019-01-03 00:00:00.0000000,"wpugh","vaA#j23^$9",5,True
32,208849,2015-07-21 00:00:00.0000000,"tpearson","#8R!$mEnrh",5,True
33,368732,2013-08-09 00:00:00.0000000,"fscott","d#14E@at#Q",2,True
34,82707,2013-07-02 00:00:00.0000000,"jordanjohn","8J^_a7Hb&g",2,True
35,453244,2020-04-18 00:00:00.0000000,"oporter","2s5Xtc9qb_",1,True
36,491256,2016-07-15 00:00:00.0000000,"sharon90","Z24FUzK()l",3,True
37,506601,2012-10-09 00:00:00.0000000,"iwalker","+(K7)vwuN7",1,True
38,190933,2014-03-27 00:00:00.0000000,"christopherchristian","u2&LR3Tr+O",5,True
39,632262,2019-09-14 00:00:00.0000000,"sheenaowens","$1KP$qgY1^",2,True
40,873313,2015-02-15 00:00:00.0000000,"bradleywheeler","g3LeXS0e+k",3,True
41,730672,2016-12-27 00:00:00.0000000,"benjamin52","gxBtHx3e&0",4,True
42,466334,2019-02-11 00:00:00.0000000,"adamrodriguez","@%Vp0I2y#e",3,True
43,902914,2011-08-27 00:00:00.0000000,"davisdonna","&PJE*f(#$4",5,True
44,523476,2018-07-30 00:00:00.0000000,"arnoldmichael","6QX#Bjq%+I",3,True
45,385173,2014-04-16 00:00:00.0000000,"michellelucas","UY6#5LmlsW",1,True
46,774905,2018-03-13 00:00:00.0000000,"nbarnes","7UE5deep#Z",5,True
47,763870,2013-10-01 00:00:00.0000000,"tmueller","!dIhdOcn52",4,True
48,920876,2014-08-17 00:00:00.0000000,"douglasjackson","*U2U*j1An)",4,True
49,491075,2015-10-24 00:00:00.0000000,"peggykramer","oZShLBHu_7",4,True
50,666710,2016-01-15 00:00:00.0000000,"plawrence","f^6FmlQmxg",1,True
51,483098,2010-08-05 00:00:00.0000000,"yking","*c1p9VffW0",4,True
52,912492,2015-04-25 00:00:00.0000000,"lucaschristian","!LhZahx%84",4,True
53,228099,2014-11-26 00:00:00.0000000,"wbarker","Y$5Y*vbFXo",2,True
54,587760,2018-12-14 00:00:00.0000000,"lukeholt","eF(6CV8e_e",5,True
55,964055,2019-05-10 00:00:00.0000000,"eric05","&O5AQ8vc7#",4,True
56,81625,2014-04-16 00:00:00.0000000,"tom43","UDak)6Rok3",5,True
57,915722,2011-04-18 00:00:00.0000000,"dixonrandy","23+UpED!@B",4,True
58,14407,2015-05-17 00:00:00.0000000,"smithlogan","66FCDjxu(3",2,True
59,492482,2018-04-29 00:00:00.0000000,"monica61","9DxfYwAQ$5",5,True
60,193608,2016-11-24 00:00:00.0000000,"vcontreras","(k9OkV!g*9",2,True
61,572281,2014-09-19 00:00:00.0000000,"sullivanalan","ux1fkV@!p!",4,True
62,381201,2013-11-14 00:00:00.0000000,"edward26","o#7k6+IyhS",4,True
63,906830,2018-10-21 00:00:00.0000000,"reidheather","98Cv879D@D",1,True
64,545963,2010-12-26 00:00:00.0000000,"reynoldsjames","&a49Mpgn*u",1,True
65,309699,2014-08-14 00:00:00.0000000,"zking","BY5VAUxqo$",2,True
66,153883,2014-03-06 00:00:00.0000000,"gmartinez","C8!h2Yjp!M",2,True
67,58991,2020-06-08 00:00:00.0000000,"laurenbennett","7aOQfDoe@B",1,True
68,756063,2012-12-03 00:00:00.0000000,"hshaw","_E%_NoBpF8",4,True
69,71171,2012-08-31 00:00:00.0000000,"hgarcia",")KlQTQqP)6",4,True
70,993955,2020-03-13 00:00:00.0000000,"garciamatthew","&5+7OmUCwx",5,True
71,584267,2015-04-23 00:00:00.0000000,"ortizbrenda","+94kQbi79s",3,True
72,365482,2013-11-29 00:00:00.0000000,"adammoreno","u+A5uZnb(W",5,True
73,241949,2011-08-11 00:00:00.0000000,"kaitlyncollins","m6&*5C&c+5",1,True
74,491677,2018-05-23 00:00:00.0000000,"boydmichelle","B(d25RyYlS",1,True
75,375264,2015-05-08 00:00:00.0000000,"stevenlewis","A_Qc_2+l!2",3,True
76,698105,2012-08-14 00:00:00.0000000,"marcus47","@86ZVP+eQN",4,True
77,548813,2014-05-13 00:00:00.0000000,"daniel23","(SRGUBkIw4",2,True
78,350015,2014-03-31 00:00:00.0000000,"amanda83","_v2OTl$VDk",1,True
79,29714,2016-08-08 00:00:00.0000000,"alexandriaphillips","iJg99Htd%B",5,True
80,293649,2015-12-19 00:00:00.0000000,"akirby","e0Xaavdz+D",2,True
81,24399,2018-08-21 00:00:00.0000000,"matthew50","j)67kVhgBH",5,True
82,899971,2010-08-15 00:00:00.0000000,"daniel70","oRXxOsHt(5",2,True
83,788024,2017-10-15 00:00:00.0000000,"joseph66","(2!XRhMElR",2,True
84,827315,2016-08-07 00:00:00.0000000,"sharon20","_5NrDAKx%R",5,True
85,781708,2011-09-30 00:00:00.0000000,"sydney47","PEu)7zRu)M",1,True
86,271892,2011-02-24 00:00:00.0000000,"kathleen04","24w$RHkC_0",2,True
87,474323,2019-10-06 00:00:00.0000000,"ritarichardson","t8tPLyvO^z",5,True
88,81039,2017-12-19 00:00:00.0000000,"pfrench","U&s5QOqy#&",3,True
89,818335,2015-07-06 00:00:00.0000000,"mark07","g0Nn1@Q8#U",3,True
90,16518,2016-11-14 00:00:00.0000000,"carolinefarmer","!A63TEyr#%",5,True
91,920766,2013-04-18 00:00:00.0000000,"omcdonald","*l2DPvPRNa",5,True
92,669847,2018-10-25 00:00:00.0000000,"burnsjoe","Z$GT2U1pYh",5,True
93,247878,2018-09-20 00:00:00.0000000,"mariaking","6d_kBTAz^5",5,True
94,189440,2017-12-30 00:00:00.0000000,"cartermichael","VVg9H9o1_l",3,True
