UserID,EmployerNumber,CreationDate,Username,Password,Level,Active
1,526370,2016-02-06,qrobinson,&o3JGvk*wk,2,true
2,112645,2011-12-30,david44,R4D9MWcr_8,1,true
3,603270,2015-12-17,coxbrittany,7#Fy4HWd5B,4,true
4,855535,2016-01-22,diazjessica,)6yprRqqFq,3,true
5,622836,2019-03-02,alexandriaduffy,Uii8t7Obk),3,true
6,48859,2013-06-14,kbuckley,BscaPnWy(8,1,true
7,345555,2012-03-18,collierashley,)0YGDl7heX,2,true
8,642489,2017-01-21,ghaynes,!^0FWwnIi3,1,true
9,20621,2019-11-05,hnelson,@tx8LXXgFt,4,true
10,982005,2016-12-22,pamela55,ud4Y%cLf!u,2,true
11,556223,2011-04-14,jharding,6Sf29cEj!D,2,true
12,66645,2016-09-16,lisabanks,)T1QYcSqtg,2,true
13,381205,2015-05-09,osandoval,*j%SC0JvKe,4,true
14,61790,2014-03-09,jose08,o#7RV#2r*b,5,true
15,485791,2013-08-20,theresa99,+)D9IwhK(t,4,true
16,409774,2013-05-05,racheljones,7)8oDfvlpR,4,true
17,440508,2014-12-30,karipatrick,t7OeaG9k*),3,true
18,702340,2010-12-02,amygregory,@skpTWXc1x,2,true
19,719827,2014-10-11,mariawilliams,3ih^a5Ez)%,3,true
20,924318,2017-04-18,michael29,zwZY^wl*+6,4,true
21,846686,2018-12-05,jackdavis,G3O0pp4f(Z,3,true
22,236293,2012-08-22,uwilson,ybQG4Urs_*,2,true
23,635107,2013-01-09,mcclaintiffany,rS6nNZ*gY#,2,true
24,92007,2010-12-23,jwise,Y@2F(MDu_L,5,true
25,480208,2017-02-21,vmiles,D8GUduiA$0,1,true
26,460440,2011-02-23,johnstonerika,sn0LFYtn)z,4,true
27,736581,2010-08-27,samanthamoran,@qC_5FYjDp,3,true
28,651054,2013-10-28,daniel18,&0pi5ET16a,2,true
29,597629,2016-03-06,uhunt,xe^LeJo2(8,4,true
30,108452,2017-07-09,dhansen,*e10RR!d#i,2,true
31,117860,2019-01-03,wpugh,vaA#j23^$9,5,true
32,208849,2015-07-21,tpearson,#8R!$mEnrh,5,true
33,368732,2013-08-09,fscott,d#14E@at#Q,2,true
34,82707,2013-07-02,jordanjohn,8J^_a7Hb&g,2,true
35,453244,2020-04-18,oporter,2s5Xtc9qb_,1,true
36,491256,2016-07-15,sharon90,Z24FUzK()l,3,true
37,506601,2012-10-09,iwalker,+(K7)vwuN7,1,true
38,190933,2014-03-27,christopherchristian,u2&LR3Tr+O,5,true
39,632262,2019-09-14,sheenaowens,$1KP$qgY1^,2,true
40,873313,2015-02-15,bradleywheeler,g3LeXS0e+k,3,true
41,730672,2016-12-27,benjamin52,gxBtHx3e&0,4,true
42,466334,2019-02-11,adamrodriguez,@%Vp0I2y#e,3,true
43,902914,2011-08-27,davisdonna,&PJE*f(#$4,5,true
44,523476,2018-07-30,arnoldmichael,6QX#Bjq%+I,3,true
45,385173,2014-04-16,michellelucas,UY6#5LmlsW,1,true
46,774905,2018-03-13,nbarnes,7UE5deep#Z,5,true
47,763870,2013-10-01,tmueller,!dIhdOcn52,4,true
48,920876,2014-08-17,douglasjackson,*U2U*j1An),4,true
49,491075,2015-10-24,peggykramer,oZShLBHu_7,4,true
50,666710,2016-01-15,plawrence,f^6FmlQmxg,1,true
51,483098,2010-08-05,yking,*c1p9VffW0,4,true
52,912492,2015-04-25,lucaschristian,!LhZahx%84,4,true
53,228099,2014-11-26,wbarker,Y$5Y*vbFXo,2,true
54,587760,2018-12-14,lukeholt,eF(6CV8e_e,5,true
55,964055,2019-05-10,eric05,&O5AQ8vc7#,4,true
56,81625,2014-04-16,tom43,UDak)6Rok3,5,true
57,915722,2011-04-18,dixonrandy,23+UpED!@B,4,true
58,14407,2015-05-17,smithlogan,66FCDjxu(3,2,true
59,492482,2018-04-29,monica61,9DxfYwAQ$5,5,true
60,193608,2016-11-24,vcontreras,(k9OkV!g*9,2,true
61,572281,2014-09-19,sullivanalan,ux1fkV@!p!,4,true
62,381201,2013-11-14,edward26,o#7k6+IyhS,4,true
63,906830,2018-10-21,reidheather,98Cv879D@D,1,true
64,545963,2010-12-26,reynoldsjames,&a49Mpgn*u,1,true
65,309699,2014-08-14,zking,BY5VAUxqo$,2,true
66,153883,2014-03-06,gmartinez,C8!h2Yjp!M,2,true
67,58991,2020-06-08,laurenbennett,7aOQfDoe@B,1,true
68,756063,2012-12-03,hshaw,_E%_NoBpF8,4,true
69,71171,2012-08-31,hgarcia,)KlQTQqP)6,4,true
70,993955,2020-03-13,garciamatthew,&5+7OmUCwx,5,true
71,584267,2015-04-23,ortizbrenda,+94kQbi79s,3,true
72,365482,2013-11-29,adammoreno,u+A5uZnb(W,5,true
73,241949,2011-08-11,kaitlyncollins,m6&*5C&c+5,1,true
74,491677,2018-05-23,boydmichelle,B(d25RyYlS,1,true
75,375264,2015-05-08,stevenlewis,A_Qc_2+l!2,3,true
76,698105,2012-08-14,marcus47,@86ZVP+eQN,4,true
77,548813,2014-05-13,daniel23,(SRGUBkIw4,2,true
78,350015,2014-03-31,amanda83,_v2OTl$VDk,1,true
79,29714,2016-08-08,alexandriaphillips,iJg99Htd%B,5,true
80,293649,2015-12-19,akirby,e0Xaavdz+D,2,true
81,24399,2018-08-21,matthew50,j)67kVhgBH,5,true
82,899971,2010-08-15,daniel70,oRXxOsHt(5,2,true
83,788024,2017-10-15,joseph66,(2!XRhMElR,2,true
84,827315,2016-08-07,sharon20,_5NrDAKx%R,5,true
85,781708,2011-09-30,sydney47,PEu)7zRu)M,1,true
86,271892,2011-02-24,kathleen04,24w$RHkC_0,2,true
87,474323,2019-10-06,ritarichardson,t8tPLyvO^z,5,true
88,81039,2017-12-19,pfrench,U&s5QOqy#&,3,true
89,818335,2015-07-06,mark07,g0Nn1@Q8#U,3,true
90,16518,2016-11-14,carolinefarmer,!A63TEyr#%,5,true
91,920766,2013-04-18,omcdonald,*l2DPvPRNa,5,true
92,669847,2018-10-25,burnsjoe,Z$GT2U1pYh,5,true
93,247878,2018-09-20,mariaking,6d_kBTAz^5,5,true
94,189440,2017-12-30,cartermichael,VVg9H9o1_l,3,true
95,661687,2018-11-29,madisonmills,hI1OaZBF(S,2,true
96,595314,2014-01-29,george63,%r6YcY$4#N,1,true
97,272767,2014-05-02,simonjeffrey,(8Aunt%krY,4,true
98,363946,2017-08-22,dthomas,G4691tF7$g,5,true
99,781824,2020-05-15,spencerbrandi,u79BHdgO_6,4,true
100,620366,2016-12-13,christine39,%W3J8qEhwa,3,true
101,678780,2013-06-04,joannasanchez,^7i^SxOwJl,1,true
102,747701,2016-03-17,graylindsey,X0J45SXz)),1,true
103,444883,2015-12-03,mgray,x6s$9SAl!P,4,true
104,321086,2014-12-13,shelleyvasquez,x)7OsoD@($,2,true
105,721937,2015-07-07,brandy49,%0M(cg2M2Z,1,true
106,606985,2017-11-19,fowlerabigail,io#4T1adE%,1,true
107,45126,2017-11-25,bcruz,*b3Xl)e^Mv,2,true
108,982457,2011-10-20,tparker,3l)2(YimPP,2,true
109,988890,2016-11-23,nguyenryan,OIo1OhUv5_,4,true
110,498777,2019-08-12,wwhite,3q8D%yc#%_,1,true
111,166148,2019-05-27,khanlisa,_h#V4ofLF3,3,true
112,262113,2019-05-19,markmoore,@2zxIjEgV&,5,true
113,952511,2012-05-03,brookskimberly,$oUiP9VsA5,1,true
114,956130,2011-07-06,kthomas,1dN(ZzjJ$e,1,true
115,556537,2019-09-14,conleymary,Z*8qmlPlh$,4,true
116,526591,2010-10-19,fisherjames,@wY9vKrpxm,5,true
117,868789,2019-02-22,timothy81,lm)@k2Dvl4,5,true
118,170929,2011-09-21,david15,_ZMJF1oqe5,1,true
119,97736,2020-02-09,rachaelsimmons,H5YORcR**b,5,true
120,502840,2011-09-14,jeffreyanderson,Y8NHLL1h!u,1,true
121,282785,2014-07-01,matthew07,G25IQBRt9^,3,true
122,262994,2019-11-30,gonzalezmichael,!H4@9IGo2T,4,true
123,651843,2019-09-26,nmiller,)S!VKfjI7z,1,true
124,308171,2017-02-04,qjones,hl@^1MZy!_,3,true
125,667959,2017-06-30,shane60,k1%Jqs@5%P,3,true
126,653418,2016-04-23,chenbrooke,t3cMM#cz_d,2,true
127,618204,2016-06-04,clarkstacey,zs2OlfmgZ),5,true
128,957227,2010-08-09,kristisanders,b)TN)2Ts^6,4,true
129,91084,2016-05-01,jeff32,&Y3_cY0nYk,4,true
130,426833,2017-07-14,shelly13,%pz5Kv7g$q,1,true
131,183411,2016-09-20,amanda89,8n9AZ1vj_+,3,true
132,491237,2016-04-02,william08,%(TL)pjd5T,1,true
133,927174,2010-08-03,cwilliams,K_8a4No8M),2,true
134,461325,2012-01-10,stephensmisty,^SaDICu51p,5,true
135,419686,2019-04-23,palmergabriela,_6XwiwM_Q#,3,true
136,888184,2020-03-19,nho,dflot7Jo#f,5,true
137,705630,2013-11-23,fthompson,Mq%2CNhF7g,5,true
138,780503,2018-12-21,christianshelley,#1ie1Ryte$,5,true
139,282048,2015-01-05,jesse87,1CrxVf!Q(m,2,true
140,757794,2011-05-30,ybrown,c1YipI4a@_,2,true
141,149166,2014-10-20,mary59,h82Z4vYx#H,1,true
142,868659,2016-05-11,yjones,+(8pD)t%l8,1,true
143,899401,2010-08-22,manderson,Q@3IZ^p$^n,1,true
144,710702,2013-10-27,nicolecrawford,0z4I^i2Ae^,3,true
145,119097,2017-11-22,tlindsey,+VY80Sda8^,2,true
146,545188,2016-11-02,dawnwalker,5*0@Pa(_SV,1,true
147,920721,2019-12-29,russell87,%3TRq4Zbzk,2,true
148,702314,2014-09-23,huntbrian,p#9KLH%ab9,2,true
149,344921,2016-02-12,monicareid,R5+c7URcE3,4,true
150,321624,2017-07-03,brittany91,!jTJts8y%4,3,true
151,800607,2018-10-16,ryan13,8^j8TNLxwb,5,true
152,731794,2012-07-26,newmancaitlin,0ex!8gSp^*,2,true
153,53094,2015-12-27,christopher58,5t@2C9fGsP,1,true
154,64324,2011-11-04,pbeck,ejW2NF8@^3,3,true
155,815385,2019-07-24,danielreynolds,kE7#1MoL^1,5,true
156,673254,2011-06-18,andrewsashley,SL@Y1Xfayu,3,true
157,363824,2015-06-24,csheppard,36PzJAAB@N,5,true
158,404635,2017-12-26,wellsnicholas,%51Ujps*FS,1,true
159,365800,2010-11-11,boyleleslie,Zv(2U$m+vh,2,true
160,879182,2016-06-07,jamesmason,549PS*t5%x,5,true
161,819939,2015-12-31,kwilson,c_^BM7D1kh,2,true
162,89724,2014-04-07,susanbruce,S+Mu8fPtbY,2,true
163,235500,2012-11-11,vmeadows,Oa9O2dn2%E,2,true
164,883044,2013-12-11,sarahaustin,*4PV#p*h*e,4,true
165,108469,2011-05-11,simmonsmichelle,uiVi1NR7L*,2,true
166,214870,2019-09-29,jessica67,1Bb2oWaDi!,5,true
167,526639,2011-04-21,maynardmichael,_1QxQLt#QL,1,true
168,758361,2018-09-06,charlottekirby,+SMHIqa_6D,5,true
169,868185,2016-01-11,huberkathy,+O0L1sNtpi,3,true
170,886906,2020-02-02,hartmanbarbara,B!j8Dxyqf@,3,true
171,383046,2019-08-18,ashleymorgan,Pu74Z%fk&G,2,true
172,795045,2018-09-09,morrisbrian,(j1!Fuey%),3,true
173,143417,2010-11-07,wilsonlaurie,$p2UMplOqW,1,true
174,665470,2012-05-13,pearsongabrielle,#6Dbg%Yn_*,4,true
175,471601,2018-03-07,ycarpenter,g%1_KLs*_A,1,true
176,740374,2012-10-19,fwarren,M*8St4e*n+,1,true
177,229721,2020-05-15,zlopez,#K0@@SpCn2,3,true
178,94532,2014-08-16,robertsingh,)2XbnZKBcn,5,true
179,138311,2016-04-08,jacob87,i4LFAef#(_,5,true
180,406294,2016-10-25,anthony30,(3WgyF5G_p,2,true
181,925795,2017-05-18,james53,50+7JHyp^t,4,true
182,172412,2017-03-12,carterbriana,&R67EqchMl,5,true
183,814394,2012-12-05,glara,Rk2gn$gf(6,3,true
184,802845,2019-10-08,wyattmichelle,%^)ApHXuz5,5,true
185,862495,2018-07-22,vtorres,I2@W1SaYeq,5,true
186,756018,2013-11-17,john81,9z45HP9c@f,3,true
187,473393,2015-02-21,alexander90,^@9SMMvvSC,4,true
188,25340,2012-07-25,jlin,#YmSiK!zT5,2,true
189,135707,2020-03-29,hfuller,+d$oCJkL*8,5,true
190,859754,2019-01-27,cannondavid,COr&5Poqw@,5,true
191,315198,2015-06-01,qcisneros,^C!&W3NlS!,3,true
192,405011,2014-01-07,medinatara,d2AmZjj%&^,2,true
193,467814,2012-06-25,kingcarlos,oYp3UZrw(0,5,true
194,33289,2017-02-16,nicholasmyers,(b09ZPaPwk,5,true
195,778074,2018-06-27,mannstephen,)(08*K1bQ&,3,true
196,427971,2017-08-24,fmcknight,8J_Lth5l^7,3,true
197,202405,2016-08-01,stanleymiller,Ked4AhOR*w,4,true
198,144927,2013-11-24,patrick20,&6YT7usVlK,1,true
199,850340,2011-04-02,edorsey,X@#6Wsv(Ra,5,true
200,790177,2016-05-05,stanley74,406nGwArx*,1,true
201,298736,2015-01-01,wrightchristian,G!J*6GBz2v,2,true
202,868220,2017-07-10,pughpaul,7NN42Bqi&&,4,true
203,77550,2013-07-08,robert55,b2M^UY^b*a,1,true
204,914675,2020-05-26,debramcintosh,P9R4VJ_d%&,3,true
205,885771,2012-10-16,gerald52,nPi)CQb@_6,5,true
206,391740,2016-07-15,kgray,Di5!o4Gyel,4,true
207,544384,2011-10-23,jessicamorgan,+QjmJo2x0V,5,true
208,73265,2011-05-26,karen62,$vy)KUql%0,3,true
209,457212,2013-12-03,ncastaneda,^#74dDOsX0,5,true
210,101063,2015-09-13,michelle63,^7+CKbf9o1,3,true
211,627090,2015-03-17,mitchelldaniel,@910$MbuQ_,3,true
212,296609,2016-01-30,dorothysmith,!O#$hiUux9,2,true
213,932224,2018-08-02,jonathanmitchell,#k2DP7GcuP,1,true
214,262764,2014-12-11,michael79,+2ANKux))(,2,true
215,547408,2011-05-09,jessicagilbert,uX&QN(8x)6,3,true
216,869708,2017-01-28,kjones,^uKxU1bXD2,4,true
217,767256,2019-11-13,harperjohn,w%0Iu*zlOv,4,true
218,967218,2015-01-26,kbenton,8G!*56GnYM,2,true
219,19115,2017-11-09,kellywoods,_#PUQklTd2,2,true
220,511837,2013-12-10,erin75,8cU2qYbJ@r,2,true
221,649463,2016-12-23,mwilliams,#5QuqnHQV3,1,true
222,993613,2012-11-04,perkinsnatalie,y3rXlqem&E,5,true
223,340219,2017-11-10,derek85,7T1ZxFBo$s,2,true
224,604979,2017-12-24,lindamckenzie,YwzZlyv8@9,4,true
225,745728,2016-01-24,qwilson,%tOF&wKm^3,2,true
226,838528,2011-01-03,danielsimon,C(5w6HHx^Z,4,true
227,672890,2015-02-27,reyesdaniel,H(uj3ubw#R,2,true
228,214619,2015-02-05,leedebbie,*S7!BNbmno,1,true
229,581842,2018-02-16,lewisbrian,&6%EI#Py_6,2,true
230,326144,2012-12-19,marquezkelly,*x7RSfr46K,2,true
231,782525,2015-09-14,bradshawdeborah,^xo4oOzz23,2,true
