UserID,EmployerNumber,CreationDate,Username,Password,Level,Active
5,622836,2019-03-02,alexandriaduffy,Uii8t7Obk),3,true
9,20621,2019-11-05,hnelson,@tx8LXXgFt,4,true
31,117860,2019-01-03,wpugh,vaA#j23^$9,5,true
39,632262,2019-09-14,sheenaowens,$1KP$qgY1^,2,true
42,466334,2019-02-11,adamrodriguez,@%Vp0I2y#e,3,true
55,964055,2019-05-10,eric05,&O5AQ8vc7#,4,true
87,474323,2019-10-06,ritarichardson,t8tPLyvO^z,5,true
110,498777,2019-08-12,wwhite,3q8D%yc#%_,1,true
111,166148,2019-05-27,khanlisa,_h#V4ofLF3,3,true
112,262113,2019-05-19,markmoore,@2zxIjEgV&,5,true
115,556537,2019-09-14,conleymary,Z*8qmlPlh$,4,true
117,868789,2019-02-22,timothy81,lm)@k2Dvl4,5,true
122,262994,2019-11-30,gonzalezmichael,!H4@9IGo2T,4,true
123,651843,2019-09-26,nmiller,)S!VKfjI7z,1,true
135,419686,2019-04-23,palmergabriela,_6XwiwM_Q#,3,true
147,920721,2019-12-29,russell87,%3TRq4Zbzk,2,true
155,815385,2019-07-24,danielreynolds,kE7#1MoL^1,5,true
166,214870,2019-09-29,jessica67,1Bb2oWaDi!,5,true
171,383046,2019-08-18,ashleymorgan,Pu74Z%fk&G,2,true
184,802845,2019-10-08,wyattmichelle,%^)ApHXuz5,5,true
190,859754,2019-01-27,cannondavid,COr&5Poqw@,5,true
217,767256,2019-11-13,harperjohn,w%0Iu*zlOv,4,true
235,380997,2019-10-13,butlerchristopher,Ngo5Lt*9+R,4,true
248,583590,2019-06-24,benjaminbowman,j@)0CEfEBq,3,true
250,955621,2019-10-30,juan33,Ue4RgWpe*$,1,true
254,293568,2019-10-04,audrey50,)E6L^^YmjV,3,true
260,600718,2019-02-10,barry73,FwRd1lpY&7,1,true
268,636234,2019-01-21,arellanomelissa,N67wS2WdC+,3,true
276,215819,2019-07-11,christopher30,9Z5PiLoT)_,5,true
279,428390,2019-03-25,jonesthomas,Z3I48Dja_C,4,true
280,942914,2019-12-30,ashley17,SgW58Jkcw&,3,true
284,284825,2019-10-17,victoria35,H2IhvXyJ!1,4,true
288,218051,2019-03-06,william04,@A0$MH&jU*,2,true
292,748673,2019-10-02,hcampbell,$8n7ebCbUx,2,true
298,356211,2019-06-22,athomas,*Q8$Zgw5Z1,2,true
303,870982,2019-11-01,philipdudley,*x@1Jof_eO,4,true
304,280947,2019-08-11,michelleroth,t2k!6Ok+%t,4,true
315,953809,2019-02-01,timothyhernandez,TUG986PxE_,4,true
317,764382,2019-06-12,hlara,5(qk3GcEMk,5,true
320,193207,2019-01-04,nataliebutler,@@2d%Wr%9w,2,true
332,464672,2019-09-08,gduran,79F&IMoM_@,1,true
345,375462,2019-01-13,herreraheather,&wRI9RQrA5,1,true
365,743091,2019-10-16,cjohnson,^)(PPzg178,2,true
366,649320,2019-03-13,robertadams,@9GuYb3NFf,2,true
375,44687,2019-05-23,jonestheresa,N_65LCUi#1,3,true
387,507352,2019-06-04,pattersoncourtney,_3B&l0r64z,5,true
406,151471,2019-04-27,qsantiago,@BDQR3uc7q,5,true
432,608959,2019-07-25,walkerrobert,E229%yLo&5,2,true
456,532995,2019-01-14,sandrabarton,(LLpVMHq_4,4,true
467,243243,2019-04-06,xbrown,)ikvK$**&3,4,true
469,398798,2019-08-09,virginia22,_LM*ViuNv3,2,true
471,516064,2019-03-31,mccoyisabella,l6cvuuFj$B,3,true
476,894025,2019-12-07,williamyoung,@7ud)XKc#Q,4,true
479,892078,2019-06-16,hancockmichele,(*LvCWNrb3,4,true
503,517056,2019-10-19,abell,#3XS1g*HFh,3,true
507,308245,2019-03-15,khinton,*VD7Tjnd95,3,true
510,118866,2019-09-09,watersbradley,!5*9UbFuUy,2,true
517,467025,2019-10-19,janice91,lU93Tplgu+,5,true
518,293286,2019-07-10,uwoodard,)r1T!I)a_R,1,true
519,189217,2019-05-15,nicolekane,a0XqTsdY!u,5,true
540,163657,2019-03-02,oclark,&CJ9Fdd!4T,2,true
554,399863,2019-10-31,elizabeth46,7eBwByMc+2,2,true
567,720195,2019-10-13,gabriel23,$19Hg#WMSQ,4,true
569,902082,2019-08-18,davisjon,k$5AgNbrLK,1,true
571,266291,2019-10-26,jesusromero,!!K_#@AdA1,3,true
599,239535,2019-06-06,bgordon,+4MZLYumq3,5,true
609,707714,2019-01-23,shieldsrachael,TMF2TfpLN#,1,true
613,541610,2019-04-02,rebeccamartinez,FqVVk6PY7_,4,true
621,581257,2019-12-31,qnavarro,c%P79E#4Uk,3,true
625,466100,2019-09-18,marissa52,Lq3ZEgbg@!,1,true
632,563986,2019-05-26,jessicablack,%u7MTmjBP5,2,true
634,141137,2019-10-28,harrisandrea,)s_PyOn54d,2,true
656,538661,2019-07-04,masseyjason,!SKhumfR!4,2,true
659,727545,2019-06-24,racheltrujillo,ggvZkO7g^9,3,true
665,299348,2019-02-04,williamgarcia,SPVdr(b1^8,3,true
672,932575,2019-05-19,michellepadilla,@OoM33Kyn8,4,true
679,358639,2019-03-29,xrivera,(PC3NIZe$f,5,true
684,948862,2019-08-21,joseph36,7Z!0Fp6+aq,2,true
688,959379,2019-08-23,gonzalezlydia,*A30laWm(h,2,true
697,971670,2019-09-14,rogerslindsey,%bR10LVtG5,5,true
699,283580,2019-02-18,fsmith,!!$74HHfTx,3,true
701,409912,2019-05-05,daniel27,N6UGrEXR!Q,2,true
706,984299,2019-10-26,pamelamartinez,Wl8RBIgl$d,2,true
726,511180,2019-01-21,melissa55,^k5FAwi2)z,3,true
733,832972,2019-01-08,daniel19,Np9EBGaI)M,1,true
743,849930,2019-07-06,james54,%gZS1^7wi1,1,true
748,964265,2019-11-11,harrismark,oE^I7IHj(#,4,true
758,460961,2019-03-27,timrhodes,^44tI)w0NF,2,true
766,887067,2019-06-25,craig75,3l5!Lr$$$R,1,true
773,450009,2019-06-24,dcontreras,)4DVFYLkzn,1,true
778,444105,2019-11-22,gscott,0hc*9Oua_Z,3,true
794,104992,2019-12-19,longmichael,H8eSxdgZ%Z,2,true
798,154817,2019-09-19,ppoole,I!(SO1OcAz,5,true
805,540320,2019-09-03,sandrarobinson,VihCMyeu$0,3,true
823,531820,2019-06-21,jamie31,_2LOpIMgtC,4,true
838,100904,2019-09-29,jonesdakota,_qKPkn)zS8,1,true
847,643700,2019-06-20,lhensley,*#q6aSrL8&,2,true
849,288055,2019-05-15,flynnamber,x7hFfowP^$,3,true
850,540138,2019-04-30,shane17,^w+B0+Se_0,1,true
865,239756,2019-09-29,ccastro,X!Y3QvrCUP,4,true
866,236873,2019-12-20,jenniferjones,x8Yh9E9q#S,5,true
917,903731,2019-04-27,qrichardson,9YO79P+))h,3,true
925,337670,2019-04-26,bsnow,zD_5Njx&cD,1,true
942,469349,2019-09-06,kathy40,5_W!Ibyx!$,1,true
954,896261,2019-01-18,juanpalmer,L8nOtg%z+_,3,true
958,22398,2019-03-28,lopezjose,uePw^TDX#0,3,true
960,865688,2019-10-16,xwatkins,R8IGd(Lu*t,1,true
966,328648,2019-04-15,hurleyteresa,fi$7c8Lk^A,2,true
975,537375,2019-02-08,whill,$35B^eQs(q,2,true
989,64866,2019-07-10,rebeccarussell,&&6H$ZiFJL,2,true
993,563037,2019-10-12,ajohnson,JrNWJAnr*5,2,true
